Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2015,BURNET,"45,616","8,563",138,51,0,"2,020",609,"2,672","4,035","1,856",65,73,0,44,1,6,0,0,0,103,431,"1,486",308,301,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CALDWELL,"40,031","4,752",7,0,0,454,791,"1,811","2,935",6,0,7,0,0,0,0,0,0,0,402,52,0,158,633,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CALHOUN,"21,452","3,042","44,315",0,0,"3,355",269,568,"2,474",0,"1,440","41,491","1,384",0,0,0,0,0,0,355,"3,000",0,188,81,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CALLAHAN,"14,154","1,179",0,0,0,282,720,308,871,0,0,0,0,0,0,0,0,0,0,281,1,0,180,540,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CAMERON,"424,133","50,193",438,0,165,"187,426",310,"6,878","42,776",539,56,382,0,0,0,0,0,165,0,596,"186,657",173,31,279,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CAMP,"12,683",843,35,0,0,0,"5,242",523,320,0,1,34,0,0,0,0,0,0,0,0,0,0,"2,097","3,145",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CARSON,"5,993",797,"1,149",0,0,"79,673",343,797,0,0,954,0,195,0,0,0,0,0,0,"78,810",122,741,308,35,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CASS,"31,000","2,485","32,982",0,0,0,"2,531","1,049","1,436",0,127,"32,855",0,0,0,0,0,0,0,0,0,0,76,"2,455",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CASTRO,"7,699","1,326",58,0,0,"246,305","10,620","1,326",0,0,58,0,0,0,0,0,0,0,0,"246,305",0,0,"9,558","1,062",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CHAMBERS,"39,041","5,667","25,664",1,905,"85,767",506,"2,826","2,841",0,"3,438","22,226",0,1,0,0,22,883,0,55,"85,712",0,202,304,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
